carat,cut,cut_ord,color,clarity,clarity_ord,price
0.39,Good,2,D,VVS2,6,1255
0.32,Ideal,5,D,SI1,3,756
0.32,Very Good,3,H,SI2,2,517
0.73,Ideal,5,H,SI1,3,2320
0.54,Premium,4,H,SI1,3,1240
0.52,Very Good,3,F,VS2,5,1607
0.5,Very Good,3,G,VVS2,6,1806
0.31,Ideal,5,E,VVS1,7,936
1.22,Very Good,3,I,SI2,2,5072
1.27,Good,2,J,VS1,4,5588
0.7,Good,2,E,VS1,4,3175
1.24,Premium,4,H,VS1,4,7222
1.01,Premium,4,E,SI1,3,5599
0.7,Very Good,3,D,SI1,3,3075
1.1,Very Good,3,G,SI1,3,4997
0.3,Very Good,3,E,VS2,5,658
1.51,Good,2,G,IF,8,14654
1.7,Ideal,5,F,VS2,5,17360
0.42,Ideal,5,G,IF,8,1289
0.36,Ideal,5,D,SI1,3,626
0.74,Very Good,3,F,SI2,2,2298
0.61,Ideal,5,G,VS2,5,2286
0.55,Ideal,5,F,VS1,4,1896
1.0,Very Good,3,I,VS2,5,4739
1.02,Ideal,5,H,SI2,2,4243
1.0,Premium,4,H,VS1,4,4732
0.33,Premium,4,F,VS2,5,854
0.31,Premium,4,F,VS2,5,802
1.16,Ideal,5,F,VS2,5,9432
1.17,Ideal,5,G,SI2,2,5743
0.62,Ideal,5,F,SI2,2,1364
0.31,Good,2,H,VS1,4,476
0.41,Very Good,3,H,VVS1,7,991
1.04,Very Good,3,F,VS1,4,7207
0.7,Ideal,5,F,SI1,3,2671
0.33,Very Good,3,H,VVS2,6,614
1.5,Good,2,J,VS1,4,8347
0.6,Ideal,5,F,VVS2,6,2298
1.2,Ideal,5,H,VS2,5,7190
0.31,Very Good,3,E,SI1,3,544
0.7,Good,2,D,SI1,3,2681
1.2,Premium,4,F,VS1,4,9370
0.37,Ideal,5,G,SI1,3,745
0.42,Premium,4,F,SI1,3,773
0.83,Ideal,5,J,VS2,5,2241
0.3,Ideal,5,D,SI1,3,552
0.32,Ideal,5,G,VVS1,7,732
0.34,Very Good,3,E,SI2,2,477
0.7,Very Good,3,G,VVS2,6,2905
0.88,Very Good,3,F,VVS2,6,5052
0.55,Ideal,5,H,VS1,4,1634
0.27,Ideal,5,H,VS1,4,464
1.14,Premium,4,G,SI2,2,4884
1.05,Ideal,5,I,SI1,3,4494
0.3,Very Good,3,J,VS2,5,473
1.5,Very Good,3,H,SI2,2,7365
1.91,Premium,4,G,SI2,2,9038
0.44,Premium,4,D,VS1,4,1232
1.07,Very Good,3,E,SI2,2,4609
0.5,Good,2,G,VVS2,6,1690
0.41,Premium,4,G,VS2,5,1061
0.7,Premium,4,I,VVS1,7,2536
0.38,Ideal,5,H,VVS2,6,1031
1.25,Ideal,5,E,VVS1,7,13536
0.5,Ideal,5,F,SI1,3,1374
0.24,Ideal,5,G,SI1,3,364
1.06,Very Good,3,E,SI2,2,4570
0.83,Premium,4,G,SI1,3,2863
0.3,Ideal,5,E,VVS2,6,766
0.6,Very Good,3,G,VVS1,7,2528
0.5,Fair,1,E,SI1,3,1176
0.9,Very Good,3,H,SI2,2,3295
0.3,Premium,4,H,VS1,4,675
0.31,Premium,4,I,SI1,3,593
1.56,Ideal,5,G,VS2,5,13787
0.71,Ideal,5,F,VS2,5,3123
1.51,Good,2,G,I1,1,3497
1.01,Ideal,5,E,VS1,4,7528
0.38,Ideal,5,H,VS2,5,680
2.0,Premium,4,H,SI2,2,12940
1.03,Premium,4,E,VS2,5,6460
0.52,Very Good,3,F,VS1,4,1748
0.39,Ideal,5,D,VS1,4,979
2.0,Premium,4,E,SI2,2,12987
0.3,Premium,4,H,VVS2,6,605
1.01,Premium,4,E,SI1,3,5599
0.31,Premium,4,G,VVS1,7,816
1.12,Ideal,5,D,VS2,5,8430
0.3,Ideal,5,F,VS2,5,605
0.4,Premium,4,F,VVS2,6,1088
0.9,Premium,4,G,SI1,3,3669
0.71,Premium,4,H,VS2,5,2363
0.54,Premium,4,G,SI1,3,1241
0.9,Ideal,5,D,SI1,3,4612
0.79,Very Good,3,H,SI2,2,2348
1.6,Ideal,5,F,SI1,3,13140
1.03,Very Good,3,G,SI2,2,4374
0.55,Premium,4,E,SI2,2,1134
0.8,Ideal,5,H,VVS1,7,3732
0.41,Ideal,5,I,VVS1,7,875
0.26,Premium,4,H,VS1,4,382
0.31,Very Good,3,G,VS2,5,544
1.09,Very Good,3,F,SI2,2,4629
0.3,Premium,4,D,VS2,5,911
1.11,Ideal,5,I,SI1,3,4273
0.62,Ideal,5,H,IF,8,2469
0.59,Premium,4,I,VVS1,7,1837
0.56,Ideal,5,F,VS2,5,1723
0.57,Very Good,3,D,IF,8,4032
1.0,Premium,4,F,SI1,3,5292
1.04,Ideal,5,G,VVS2,6,6173
0.7,Fair,1,E,SI1,3,2000
0.7,Ideal,5,E,SI1,3,2407
1.13,Premium,4,E,SI1,3,5012
1.51,Premium,4,D,VS1,4,17936
0.71,Very Good,3,E,SI1,3,2455
0.43,Premium,4,D,SI1,3,1064
0.55,Ideal,5,F,SI1,3,1368
1.54,Premium,4,G,SI2,2,8969
1.0,Very Good,3,E,SI2,2,4620
2.5,Fair,1,J,SI2,2,14652
1.0,Good,2,I,VS2,5,4761
1.01,Ideal,5,G,SI2,2,4783
1.02,Premium,4,D,SI2,2,4718
0.32,Premium,4,I,VS1,4,505
1.71,Good,2,J,SI2,2,7508
0.31,Ideal,5,H,VVS1,7,707
0.33,Ideal,5,G,IF,8,946
0.52,Very Good,3,E,SI1,3,1438
1.5,Ideal,5,H,SI1,3,11189
0.3,Premium,4,I,VS1,4,567
0.3,Premium,4,G,VVS2,6,878
0.5,Good,2,D,VS1,4,1795
0.52,Ideal,5,G,VVS1,7,2065
0.47,Good,2,E,VVS1,7,1613
1.3,Ideal,5,F,SI2,2,6559
0.31,Ideal,5,G,IF,8,871
0.34,Very Good,3,D,SI1,3,626
1.01,Ideal,5,F,SI2,2,3777
0.64,Ideal,5,D,VVS1,7,4281
0.31,Good,2,H,VS2,5,489
0.7,Premium,4,F,SI1,3,2196
0.7,Premium,4,F,VVS2,6,3062
1.17,Ideal,5,G,VVS2,6,9225
0.26,Very Good,3,E,VVS2,6,564
1.0,Good,2,E,VVS1,7,7084
0.4,Ideal,5,I,VS2,5,667
1.0,Fair,1,F,SI1,3,4657
0.47,Premium,4,G,VS2,5,1102
0.34,Ideal,5,F,VS1,4,745
0.33,Good,2,I,VVS2,6,579
0.52,Very Good,3,E,VS2,5,1670
1.02,Ideal,5,H,VVS2,6,6797
1.71,Premium,4,I,VS1,4,10055
1.01,Ideal,5,D,SI1,3,6257
1.4,Premium,4,H,SI1,3,8624
1.05,Ideal,5,G,SI1,3,5192
0.32,Ideal,5,E,IF,8,1018
1.21,Ideal,5,H,SI2,2,5624
1.14,Ideal,5,H,SI1,3,5501
0.4,Very Good,3,J,VS1,4,606
1.01,Very Good,3,I,SI1,3,4185
0.4,Premium,4,D,VS1,4,1200
1.52,Fair,1,J,SI2,2,5916
0.76,Premium,4,E,SI1,3,2814
0.5,Ideal,5,G,SI2,2,1011
0.28,Ideal,5,D,VVS1,7,780
1.11,Ideal,5,H,SI1,3,5315
0.38,Premium,4,H,VS2,5,700
1.0,Very Good,3,D,SI1,3,6040
0.56,Ideal,5,I,VVS1,7,1605
0.34,Premium,4,E,VVS2,6,995
0.82,Ideal,5,G,SI1,3,3123
1.04,Premium,4,F,SI2,2,4507
0.47,Ideal,5,H,IF,8,1865
1.02,Premium,4,H,VS2,5,5100
1.02,Very Good,3,D,SI1,3,6047
0.41,Premium,4,G,SI1,3,719
0.44,Very Good,3,E,VS1,4,1158
0.5,Premium,4,E,VS2,5,1654
1.0,Premium,4,J,SI1,3,3780
2.05,Premium,4,I,VS1,4,12766
0.75,Very Good,3,E,SI1,3,2698
0.95,Good,2,D,SI2,2,3214
0.51,Ideal,5,E,SI1,3,1438
0.3,Ideal,5,I,SI2,2,405
1.19,Very Good,3,H,VS1,4,7147
1.0,Fair,1,D,SI2,2,2974
1.6,Ideal,5,E,SI2,2,10798
0.38,Premium,4,F,SI1,3,838
0.33,Premium,4,D,VVS2,6,1002
0.8,Ideal,5,E,SI1,3,3630
1.5,Premium,4,H,IF,8,13107
0.3,Ideal,5,E,VVS1,7,956
0.3,Ideal,5,H,VVS2,6,605
0.27,Very Good,3,E,VVS2,6,620
0.46,Very Good,3,E,VS1,4,1417
1.51,Premium,4,H,SI2,2,8388
1.03,Premium,4,E,VS2,5,7192
0.33,Premium,4,H,VS2,5,668
1.01,Premium,4,H,SI1,3,4559
0.4,Ideal,5,D,VS2,5,1050
0.8,Ideal,5,E,VS2,5,3648
0.71,Very Good,3,G,VS2,5,2382
0.34,Premium,4,F,VS2,5,880
0.5,Good,2,D,SI1,3,1235
1.22,Ideal,5,F,VVS2,6,11870
0.59,Very Good,3,F,VS2,5,1764
0.78,Ideal,5,G,VS2,5,3613
1.21,Very Good,3,G,VVS2,6,9942
0.33,Very Good,3,G,VVS1,7,795
0.35,Ideal,5,J,VS1,4,478
1.19,Good,2,J,VS1,4,4931
1.25,Premium,4,H,VS1,4,8099
1.07,Premium,4,D,SI1,3,5704
0.75,Very Good,3,D,SI1,3,3048
1.51,Ideal,5,G,SI2,2,8794
2.3,Ideal,5,G,SI2,2,14744
0.72,Premium,4,F,SI1,3,2670
0.35,Premium,4,D,VS2,5,829
0.34,Good,2,H,VS2,5,689
1.01,Fair,1,G,VS2,5,4072
0.9,Very Good,3,D,SI2,2,3706
1.0,Good,2,D,SI2,2,4218
0.81,Ideal,5,E,VS2,5,4314
1.13,Ideal,5,H,SI1,3,5050
0.3,Ideal,5,D,VS2,5,616
0.31,Ideal,5,G,VVS1,7,1046
0.3,Very Good,3,H,VS1,4,675
1.23,Premium,4,I,SI2,2,4773
2.16,Premium,4,J,VVS1,7,17891
1.11,Ideal,5,I,SI1,3,4709
0.54,Premium,4,D,VS1,4,1847
1.02,Premium,4,D,VS2,5,6909
1.51,Premium,4,I,SI2,2,7577
0.73,Ideal,5,D,SI1,3,3195
1.03,Premium,4,I,VS1,4,5012
1.07,Very Good,3,F,VS1,4,7513
0.34,Ideal,5,D,SI1,3,626
0.5,Fair,1,G,VS1,4,1234
1.03,Good,2,J,I1,1,2220
0.4,Good,2,F,IF,8,1404
0.7,Premium,4,E,VS2,5,2818
1.52,Premium,4,J,VS1,4,8110
2.02,Premium,4,F,SI2,2,13267
0.4,Good,2,D,SI2,2,622
0.79,Ideal,5,E,VS2,5,3861
0.47,Premium,4,H,VS1,4,1244
0.33,Premium,4,E,SI2,2,463
1.21,Very Good,3,I,SI1,3,4404
0.51,Very Good,3,F,VS2,5,1601
1.01,Ideal,5,G,SI2,2,4803
0.77,Ideal,5,E,SI2,2,2519
1.01,Fair,1,E,VS2,5,4525
0.62,Very Good,3,H,VS2,5,1734
0.31,Ideal,5,I,VS2,5,421
2.04,Very Good,3,H,SI2,2,13790
0.41,Premium,4,E,SI1,3,705
1.26,Premium,4,F,VS1,4,10669
0.36,Ideal,5,D,VVS2,6,1033
0.71,Premium,4,G,VS2,5,2694
0.42,Ideal,5,G,SI1,3,882
0.31,Premium,4,H,VVS1,7,707
1.0,Premium,4,G,VS2,5,6048
0.31,Ideal,5,E,VS1,4,682
1.01,Premium,4,E,VS2,5,6843
0.71,Good,2,F,SI1,3,2396
1.02,Very Good,3,E,VS1,4,7779
0.73,Ideal,5,E,SI2,2,2581
0.4,Very Good,3,D,VS2,5,982
0.5,Fair,1,D,SI1,3,1323
1.28,Premium,4,I,VS2,5,6451
0.91,Good,2,F,SI2,2,3539
1.21,Very Good,3,I,VS1,4,5866
0.24,Very Good,3,I,VVS1,7,336
0.38,Very Good,3,D,VS1,4,995
0.9,Very Good,3,G,VS1,4,4358
0.8,Very Good,3,E,VS2,5,4263
0.28,Very Good,3,F,VS1,4,487
1.02,Ideal,5,G,VS2,5,6333
0.51,Premium,4,F,VS1,4,1836
0.72,Fair,1,E,VS2,5,2691
0.9,Premium,4,G,VS2,5,4022
1.22,Ideal,5,G,VS1,4,8313
0.4,Ideal,5,H,VS2,5,926
0.8,Premium,4,F,SI2,2,2371
0.71,Ideal,5,E,VS2,5,3247
0.7,Good,2,I,VVS2,6,2394
1.11,Very Good,3,H,VS2,5,5450
0.7,Very Good,3,D,SI2,2,2337
0.42,Very Good,3,D,SI1,3,756
0.36,Ideal,5,G,VS1,4,949
0.38,Very Good,3,F,VS1,4,988
1.02,Premium,4,F,VS1,4,7389
0.5,Ideal,5,D,VS1,4,2025
1.07,Ideal,5,F,VS2,5,8640
1.52,Premium,4,I,SI1,3,8631
0.7,Very Good,3,E,SI1,3,2575
1.0,Fair,1,D,SI1,3,5096
1.71,Very Good,3,F,VS2,5,17052
0.51,Premium,4,G,VS2,5,1343
0.3,Premium,4,F,VVS2,6,882
0.6,Premium,4,E,SI1,3,1625
1.0,Premium,4,D,VS2,5,6303
0.9,Premium,4,I,VS2,5,3398
0.7,Ideal,5,F,SI2,2,2171
0.52,Good,2,F,SI1,3,1244
1.23,Good,2,D,I1,1,3977
1.01,Good,2,G,SI2,2,4185
0.52,Ideal,5,I,VVS1,7,1454
0.38,Premium,4,H,VVS2,6,1069
2.01,Premium,4,H,SI1,3,16733
0.81,Fair,1,F,SI2,2,2031
0.55,Ideal,5,D,VS2,5,1768
0.36,Premium,4,J,SI1,3,410
1.51,Very Good,3,I,SI1,3,8637
0.43,Very Good,3,E,VS1,4,890
2.5,Fair,1,G,I1,1,7854
1.5,Very Good,3,G,VVS2,6,12798
1.51,Ideal,5,G,VS2,5,10553
0.34,Good,2,E,SI1,3,641
0.79,Premium,4,H,SI1,3,2275
1.07,Ideal,5,G,VS2,5,6040
1.05,Premium,4,F,SI2,2,4363
0.59,Very Good,3,H,SI2,2,1254
0.72,Premium,4,E,VS2,5,3078
0.93,Ideal,5,F,SI2,2,3941
0.71,Ideal,5,D,VS2,5,4029
0.3,Very Good,3,G,VVS2,6,684
0.58,Ideal,5,G,VS2,5,1641
0.74,Ideal,5,I,VS1,4,2631
0.56,Ideal,5,H,SI1,3,1270
0.4,Ideal,5,F,SI2,2,677
0.96,Fair,1,H,I1,1,1705
0.32,Ideal,5,G,VS1,4,828
0.34,Ideal,5,H,VS1,4,615
0.45,Ideal,5,J,VS2,5,672
1.01,Premium,4,H,SI2,2,4242
1.5,Premium,4,F,VS2,5,14486
0.35,Ideal,5,H,IF,8,984
1.5,Good,2,J,VVS2,6,8276
0.41,Ideal,5,E,SI2,2,818
1.24,Premium,4,D,VS2,5,9738
0.71,Ideal,5,J,SI1,3,1713
0.4,Ideal,5,F,VVS1,7,1128
0.26,Ideal,5,H,VS1,4,482
0.29,Very Good,3,G,VS2,5,471
1.28,Premium,4,H,SI1,3,6595
2.3,Ideal,5,I,SI2,2,16181
1.04,Very Good,3,I,SI1,3,4190
0.5,Ideal,5,I,SI1,3,982
1.39,Ideal,5,F,SI2,2,5021
0.51,Ideal,5,E,SI1,3,1546
0.36,Ideal,5,F,VS1,4,789
0.31,Premium,4,D,SI1,3,732
0.31,Ideal,5,G,VVS1,7,789
1.0,Very Good,3,F,SI2,2,4255
1.01,Premium,4,E,SI1,3,5599
0.9,Very Good,3,F,SI1,3,4119
1.02,Good,2,H,SI2,2,3427
1.01,Premium,4,H,SI2,2,4242
1.51,Good,2,H,VS1,4,10819
0.41,Good,2,I,VVS2,6,827
0.42,Ideal,5,F,VVS2,6,1221
1.21,Premium,4,J,VVS2,6,5431
0.25,Very Good,3,F,VVS2,6,575
0.5,Fair,1,G,I1,1,701
1.3,Ideal,5,F,VVS2,6,12734
0.39,Ideal,5,I,VVS2,6,849
0.4,Ideal,5,F,VS2,5,842
0.57,Premium,4,D,SI2,2,1012
1.2,Premium,4,E,SI2,2,5268
0.5,Fair,1,H,VS2,5,1122
0.71,Very Good,3,I,VVS2,6,2586
0.54,Ideal,5,E,VS2,5,1695
2.25,Very Good,3,H,SI2,2,14775
0.73,Very Good,3,F,VS2,5,2503
0.4,Premium,4,G,VS1,4,1125
1.51,Premium,4,G,VS2,5,16091
0.41,Very Good,3,D,VS2,5,1007
2.02,Ideal,5,G,VS2,5,18077
0.9,Very Good,3,H,VS2,5,4258
0.66,Ideal,5,D,VVS2,6,3103
0.56,Ideal,5,H,VVS1,7,1941
0.38,Ideal,5,E,VS1,4,1133
2.08,Ideal,5,H,SI2,2,15065
0.35,Ideal,5,E,VS2,5,984
0.34,Ideal,5,H,VS2,5,689
0.9,Very Good,3,F,VS2,5,4617
2.01,Premium,4,I,SI1,3,11646
1.2,Very Good,3,H,SI2,2,5280
0.4,Good,2,J,VS1,4,589
1.23,Ideal,5,H,SI2,2,5951
0.57,Ideal,5,F,VVS2,6,2402
1.13,Ideal,5,E,VVS2,6,11387
0.34,Very Good,3,I,SI1,3,459
1.51,Premium,4,J,VS2,5,7357
1.34,Ideal,5,D,SI1,3,8930
0.9,Very Good,3,I,SI2,2,3057
1.2,Good,2,D,VS2,5,8521
1.02,Premium,4,H,SI1,3,4558
0.31,Premium,4,H,VS1,4,698
0.38,Ideal,5,G,VVS1,7,973
1.21,Ideal,5,G,VS1,4,8616
0.3,Ideal,5,I,SI1,3,422
0.83,Ideal,5,F,SI1,3,3290
0.32,Premium,4,G,VS1,4,828
0.44,Premium,4,F,VS1,4,1155
0.52,Very Good,3,J,VS2,5,1141
0.26,Very Good,3,E,VVS1,7,657
1.5,Very Good,3,H,VS1,4,10584
1.06,Ideal,5,E,VS2,5,7788
0.9,Very Good,3,H,VS1,4,4234
0.37,Very Good,3,F,VS2,5,696
0.3,Very Good,3,H,VS1,4,526
0.36,Ideal,5,F,VVS2,6,828
0.31,Good,2,E,SI1,3,698
0.7,Ideal,5,E,SI1,3,2745
2.02,Premium,4,H,SI2,2,15996
0.45,Very Good,3,G,VVS1,7,1263
0.39,Premium,4,J,VVS1,7,921
1.31,Premium,4,G,VS2,5,8979
1.06,Premium,4,G,VVS2,6,7627
0.5,Ideal,5,D,VVS2,6,2376
1.01,Premium,4,G,SI1,3,4338
0.6,Very Good,3,E,SI2,2,1250
0.32,Ideal,5,E,VVS2,6,843
1.72,Very Good,3,E,SI2,2,11638
0.53,Ideal,5,D,SI1,3,1753
1.0,Very Good,3,H,SI1,3,4702
1.01,Premium,4,H,SI1,3,4707
0.91,Very Good,3,I,VS2,5,3994
0.57,Very Good,3,I,SI1,3,1180
1.25,Premium,4,H,VS1,4,7560
